0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,1,533836,?,100,?,3,3,4,2,?,4,4,2,1,2,?,?,68,64,3,2,1,1,2209,0,0,2
2,1,528169,38.20,48,?,2,?,1,2,3,3,1,2,1,?,?,2,34.00,6.60,?,?,1,2,3111,0,0,2
2,1,530670,37.60,88,36,3,1,1,1,3,3,2,1,3,1.50,?,?,44.00,6.00,?,?,2,1,1400,0,0,2
1,1,533871,37.5,72,?,2,1,1,1,2,1,1,1,1,?,1,?,35,65,2,2,3,1,7209,0,0,2
2,1,528620,36.90,50,40,2,3,3,1,1,3,2,3,1,7.00,?,?,37.50,6.50,?,?,1,2,3111,0,0,2
2,1,530001,38.00,44,12,2,1,3,1,3,4,3,1,2,6.50,1,4,33.00,6.50,?,?,2,1,2209,0,0,2
1,1,534073,37.5,48,40,?,?,?,?,?,?,?,1,1,?,?,5,41,55,3,2,3,1,2208,0,0,2
1,1,535085,?,65,24,?,?,?,2,5,?,4,3,1,?,?,5,?,?,?,?,3,1,3205,0,0,2
2,1,532349,38,56,?,1,2,3,1,1,1,1,1,1,?,1,1,42,71,?,?,1,2,0,0,0,2
2,1,535166,38.1,56,20,2,1,2,1,1,3,1,1,1,?,?,?,46,70,?,?,1,2,0,0,0,2
1,1,529272,38.30,132,?,?,3,6,2,2,4,2,2,3,6.20,4,4,57.00,8.00,?,5.20,1,1,2112,0,0,1
2,1,530310,?,?,?,3,3,1,1,5,3,3,1,1,?,4,5,38.00,6.50,?,?,2,1,3205,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
2,1,533793,38.9,44,14,3,1,1,1,2,3,2,?,?,?,?,2,33,64,?,?,1,2,0,0,0,2
2,1,534719,37.5,52,12,1,1,1,1,2,3,2,2,1,?,3,5,36,61,1,1,1,2,0,0,0,2
1,1,527698,38.40,49,?,?,?,1,1,?,?,1,2,1,?,?,?,44.00,7.60,?,?,1,1,2206,0,0,2
2,1,530276,38.00,48,12,1,1,1,1,1,3,?,1,1,?,3,2,42.00,6.30,2,4.10,1,2,3111,0,0,1
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60.00,7.50,?,?,2,1,2112,0,0,2
1,1,534145,38.1,88,32,3,3,4,1,2,3,3,?,3,1,4,5,55,60,?,?,3,2,3205,0,0,2
1,1,528668,38.30,52,96,?,3,3,1,?,?,?,1,1,?,1,?,43.00,6.10,?,?,1,1,3209,0,0,1
1,1,533836,?,100,?,3,3,4,2,?,4,4,2,1,2,?,?,68,64,3,2,1,1,2209,0,0,2
1,1,529607,?,60,?,3,?,?,1,?,4,2,2,1,?,3,4,44.00,8.30,?,?,2,1,2208,0,0,2
2,1,527677,39.00,86,16,3,3,5,?,3,3,3,?,2,?,?,?,68.00,5.80,3,6.00,2,1,5400,0,0,1
1,1,529663,38.20,64,28,1,1,1,1,3,1,?,?,?,?,4,4,49.00,8.60,2,6.60,1,1,2208,0,0,1
1,1,535130,38.2,60,30,1,1,3,1,3,3,1,2,1,?,3,2,48,66,?,?,1,1,6112,0,0,2
1,1,534004,?,78,24,3,3,3,1,?,3,?,2,1,?,?,4,43,62,?,2,3,2,2209,0,0,2
1,1,530157,39.90,72,60,1,1,5,2,5,4,4,3,1,?,4,4,46.00,6.10,2,?,1,1,2111,0,0,2
2,1,529642,37.20,84,48,3,3,5,2,4,1,2,1,2,?,2,1,73.00,5.50,2,4.10,2,2,4300,0,0,1
1,1,535137,38.5,96,30,2,3,4,2,4,4,3,2,1,?,3,5,50,65,?,?,1,1,6111,3112,0,2
1,1,5279442,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,2,4300,0,0,2
2,1,529461,40.30,114,36,3,3,1,2,2,3,3,2,1,7.00,1,5,57.00,8.10,3,4.50,3,1,7400,0,0,1
2,1,530101,38.50,66,28,3,3,?,2,5,4,4,?,?,?,3,5,45.00,8.40,?,?,2,2,11300,0,0,2
1,1,534788,38.2,48,18,1,1,1,1,3,3,3,1,2,?,4,?,48,74,1,2,1,1,5111,0,0,2
1,1,534624,?,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,3,1,11124,0,0,2
1,1,534925,39.4,120,48,?,?,5,1,?,3,3,1,?,?,4,?,56,64,1,2,3,2,1400,0,0,2
2,1,534053,38.2,68,32,2,2,2,1,1,1,1,3,1,?,1,1,43,65,?,?,1,2,0,0,0,2
1,1,534925,39.4,120,48,?,?,5,1,?,3,3,1,?,?,4,?,56,64,1,2,3,2,1400,0,0,2
2,1,530561,?,112,24,3,3,4,2,5,4,2,?,?,?,4,?,40.00,5.30,3,2.60,1,2,400,0,0,1
2,1,518476,?,?,?,3,4,6,?,4,?,4,?,?,?,?,?,?,?,?,?,2,1,3400,0,0,1
1,1,529663,38.20,64,28,1,1,1,1,3,1,?,?,?,?,4,4,49.00,8.60,2,6.60,1,1,2208,0,0,1
1,1,527933,36.80,60,28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.00,2,1,3205,0,0,1
1,1,534817,39.2,88,20,?,?,4,1,3,4,2,?,?,?,4,2,50,85,2,2,3,2,2208,0,0,2
2,1,5290482,39.50,?,?,3,3,4,2,3,4,3,?,3,5.50,4,5,?,6.70,1,?,3,1,4205,0,0,2
1,1,528469,38.10,52,24,1,1,5,1,4,3,1,2,3,7.00,1,?,54.00,7.50,2,2.60,2,1,2206,0,0,1
2,1,530002,39.60,108,51,3,3,6,2,2,4,3,1,2,?,3,5,59.00,8.00,2,2.60,1,2,4300,0,0,1
1,1,529736,?,52,28,3,3,4,1,3,4,3,2,1,?,4,4,37.00,8.10,?,?,1,1,2111,0,0,2
1,1,527916,?,?,?,?,?,?,?,4,?,?,1,1,?,?,5,35,58,2,1,1,1,4205,0,0,2
1,1,534624,?,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,3,1,11124,0,0,2
2,1,534857,37.8,56,16,1,1,2,1,2,1,1,2,1,?,1,?,44,68,1,1,1,2,0,0,0,2
1,1,528178,37.70,66,12,1,1,3,1,3,3,2,2,?,?,4,4,31.50,6.20,2,1.60,1,1,2208,0,0,1
2,1,522979,36.00,42,30,?,?,5,1,?,?,?,?,?,?,?,?,64.00,6.80,?,?,2,2,1400,0,0,2
1,1,528890,38.90,80,44,3,3,3,2,2,3,3,2,2,7.00,3,1,54.00,6.50,3,?,2,1,7111,0,0,2
1,1,529126,38.00,50,36,?,1,1,1,3,2,2,?,?,?,3,?,39.00,6.60,1,5.30,1,1,8400,0,0,1
1,1,530354,?,36,32,1,1,4,1,5,3,3,2,3,4.00,?,4,41.00,5.90,?,?,2,1,2205,0,0,2
2,1,530334,38.30,40,24,1,1,3,1,3,3,1,?,?,?,1,1,33.00,6.70,?,?,1,2,0,0,0,1
2,1,528996,38.60,52,20,1,1,1,1,3,3,2,1,1,?,1,3,36.00,6.60,1,5.00,1,2,0,0,0,1
2,1,529493,38.30,112,16,?,3,5,2,?,?,1,1,2,?,?,5,51.00,6.00,2,1.00,3,2,5205,0,0,1
1,1,5262543,38.50,30,18,?,?,?,?,?,?,?,?,?,?,?,?,40.00,7.70,?,?,1,1,2113,0,0,2
1,1,535292,38.5,129,48,3,3,3,1,2,4,3,1,3,2,?,?,57,66,3,2,1,1,2206,0,0,2
1,1,535130,38.2,60,30,1,1,3,1,3,3,1,2,1,?,3,2,48,66,?,?,1,1,6112,0,0,2
1,1,5279822,38.00,?,24,3,3,6,2,5,?,4,1,1,?,?,?,68.00,7.80,?,?,2,1,2205,0,0,2
2,1,529461,40.30,114,36,3,3,1,2,2,3,3,2,1,7.00,1,5,57.00,8.10,3,4.50,2,1,3205,0,0,1
2,1,528620,36.90,50,40,2,3,3,1,1,3,2,3,1,7.00,?,?,37.50,6.50,?,?,1,2,3111,0,0,2
1,1,527933,36.80,60,28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.00,2,1,3205,0,0,1
1,1,527563,37.80,52,24,1,3,3,1,4,4,1,2,3,5.70,2,5,48.00,6.60,1,3.70,2,1,5400,0,0,2
1,1,533886,?,120,70,4,?,4,2,2,4,?,?,?,?,?,5,55,65,?,?,3,2,3205,0,0,2
1,1,5283431,38.50,66,24,1,1,1,1,3,3,1,2,1,?,4,5,40.00,6.70,1,?,1,1,31110,0,0,1
1,1,527916,?,?,?,?,?,?,?,4,?,?,1,1,?,?,5,35,58,2,1,1,1,4205,0,0,2
1,1,535130,38.2,60,30,1,1,3,1,3,3,1,2,1,?,3,2,48,66,?,?,1,1,6112,0,0,2
2,9,5299629,38.30,90,?,1,?,1,1,5,3,1,2,1,?,3,?,40.00,6.20,1,2.20,1,2,0,0,0,1
1,1,529663,38.20,64,28,1,1,1,1,3,1,?,?,?,?,4,4,49.00,8.60,2,6.60,1,1,2208,0,0,1
2,1,528977,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0,2
2,1,527829,38.30,54,18,3,1,2,1,2,3,2,?,3,5.40,?,4,44.00,7.20,3,?,1,2,2124,0,0,1
1,9,5294369,38.90,120,30,1,3,2,2,3,3,3,3,1,3.00,?,?,47.00,6.30,1,?,1,2,2124,0,0,2
1,1,535338,37.8,88,80,3,3,5,2,?,3,3,2,3,?,4,5,64,89,?,?,3,1,3205,0,0,2
1,1,534615,37.6,38,20,3,3,1,1,3,3,2,?,?,?,3,?,37,68,?,?,1,1,3205,0,0,2
1,1,535407,35.4,140,24,3,3,4,2,4,4,?,2,1,?,?,5,57,69,3,2,3,1,3205,0,0,2
1,9,5297159,38.80,150,50,1,3,6,2,5,3,2,1,1,?,?,?,50.00,6.20,?,?,2,1,4207,0,0,2
1,1,528682,39.40,54,66,1,1,2,1,2,3,2,1,1,?,3,4,39.00,6.00,2,?,1,1,2206,0,0,1
1,1,528503,39.20,120,20,4,3,5,2,2,3,3,1,3,?,?,4,60.00,8.80,3,?,2,1,2205,0,0,2
2,1,528299,?,44,24,1,1,1,1,3,3,1,2,1,?,?,1,?,6.30,?,?,1,2,3111,0,0,2
1,1,533968,?,60,30,3,3,4,2,5,4,4,1,1,?,4,?,45,70,3,2,1,1,6111,3111,0,2
2,1,528812,?,104,24,4,3,3,2,4,4,3,?,3,?,?,2,73.00,8.40,?,?,3,1,7111,0,0,2
1,1,529729,?,104,?,3,3,5,2,2,4,3,?,3,?,4,4,69.00,8.60,2,3.40,2,1,2207,0,0,1
1,1,530354,?,36,32,1,1,4,1,5,3,3,2,3,4.00,?,4,41.00,5.90,?,?,2,1,2205,0,0,2
2,1,529483,?,?,?,1,1,3,1,1,3,1,?,?,?,2,2,43.00,7.70,?,?,1,2,3111,0,0,2
1,1,529812,38.70,96,28,3,3,4,1,?,4,?,?,3,7.50,?,?,64.00,9.00,?,?,2,1,2205,0,0,1
1,1,534624,?,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,3,1,11124,0,0,2
2,1,530334,38.30,40,24,1,1,3,1,3,3,1,?,?,?,1,1,33.00,6.70,?,?,1,2,0,0,0,1
1,1,529135,37.80,40,12,1,1,1,1,1,2,1,2,1,?,1,2,38.00,7.00,?,?,1,1,3111,0,0,2
1,1,529272,38.30,132,?,?,3,6,2,2,4,2,2,3,6.20,4,4,57.00,8.00,?,5.20,1,1,2112,0,0,1
1,1,528630,37.80,88,22,2,1,2,1,3,?,?,2,?,?,4,?,64.00,8.00,1,6.00,2,1,3205,0,0,1
1,1,521681,38.60,42,34,2,1,4,?,2,3,1,?,?,?,1,?,48.00,7.20,?,?,1,1,3111,0,0,2
1,9,5287179,38.10,136,48,3,3,3,1,5,1,3,2,2,4.40,2,?,33.00,4.90,2,2.90,2,1,2205,0,0,1
1,1,529427,37.20,60,?,2,1,1,1,3,3,3,2,1,?,4,5,43.00,6.60,?,?,1,1,2209,0,0,2
1,9,5291719,38.80,124,36,3,1,2,1,2,3,4,1,1,?,4,4,50.00,7.60,3,?,2,1,2208,0,0,1
2,1,530251,38.80,50,20,3,1,1,1,1,1,1,2,1,?,3,1,42.00,6.20,?,?,1,2,0,0,0,2
1,1,527758,38.20,72,18,?,?,?,?,?,?,?,?,?,?,?,?,35.00,6.40,?,?,1,1,3124,0,0,2
2,1,530051,?,80,36,3,4,3,1,4,4,4,2,1,?,3,5,38.00,6.20,?,?,3,1,3205,0,0,2
1,1,534787,38.0,36,16,3,1,1,1,4,2,2,3,3,2,3,?,37,75,2,1,3,2,3111,0,0,2
1,1,530478,38.30,44,21,3,1,2,1,3,3,3,2,1,?,1,5,44.00,6.50,2,4.40,1,1,2209,0,0,1
1,1,533836,?,100,?,3,3,4,2,?,4,4,2,1,2,?,?,68,64,3,2,1,1,2209,0,0,2
1,1,534615,37.6,38,20,3,3,1,1,3,3,2,?,?,?,3,?,37,68,?,?,1,1,3205,0,0,2
2,1,532110,39.4,110,35,4,3,6,?,?,3,3,?,?,?,?,?,55,8.7,?,?,1,2,0,0,0,2
1,1,535364,38.2,40,16,3,3,1,1,1,3,?,?,?,?,1,1,34,66,?,?,1,2,0,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
1,1,533968,?,60,30,3,3,4,2,5,4,4,1,1,?,4,?,45,70,3,2,1,1,6111,3111,0,2
2,1,530438,37.80,48,32,1,1,3,1,2,1,?,1,1,?,4,5,37.00,6.70,?,?,1,2,2124,0,0,2
2,1,530294,37.90,40,24,1,1,1,1,2,3,1,?,?,?,?,3,40.00,5.70,?,?,1,1,400,0,0,2
1,9,5294369,38.90,120,30,1,3,2,2,3,3,3,3,1,3.00,?,?,47.00,6.30,1,?,1,2,2124,0,0,2
1,1,528668,38.30,52,96,?,3,3,1,?,?,?,1,1,?,1,?,43.00,6.10,?,?,1,1,3209,0,0,1
2,9,5299629,38.30,90,?,1,?,1,1,5,3,1,2,1,?,3,?,40.00,6.20,1,2.20,1,2,0,0,0,1
1,1,529427,37.20,60,?,2,1,1,1,3,3,3,2,1,?,4,5,43.00,6.60,?,?,1,1,2209,0,0,2
2,1,522979,36.00,42,30,?,?,5,1,?,?,?,?,?,?,?,?,64.00,6.80,?,?,2,2,1400,0,0,2
1,1,535407,35.4,140,24,3,3,4,2,4,4,?,2,1,?,?,5,57,69,3,2,3,1,3205,0,0,2
1,1,529424,37.80,48,28,1,1,1,1,1,2,1,2,?,?,1,1,46.00,5.90,2,7.00,1,2,0,0,0,1
1,1,530034,37.00,66,20,1,3,2,1,4,3,3,1,?,?,1,5,35.00,6.90,2,?,2,1,31110,0,0,2
1,1,528047,37.30,48,12,1,?,3,1,3,1,3,2,1,?,3,3,40.00,6.60,2,?,1,1,3205,0,0,1
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
1,1,529272,38.30,132,?,?,3,6,2,2,4,2,2,3,6.20,4,4,57.00,8.00,?,5.20,1,1,2112,0,0,1
1,1,528630,37.80,88,22,2,1,2,1,3,?,?,2,?,?,4,?,64.00,8.00,1,6.00,2,1,3205,0,0,1
1,1,535292,38.5,129,48,3,3,3,1,2,4,3,1,3,2,?,?,57,66,3,2,1,1,2206,0,0,2
2,1,528248,38.00,42,40,3,1,1,1,3,3,1,?,?,?,?,?,?,?,?,?,1,2,3111,0,0,2
2,1,535246,?,80,32,3,3,2,1,2,3,3,2,1,?,3,?,50,80,?,?,1,1,0,0,0,2
1,1,529427,37.20,60,?,2,1,1,1,3,3,3,2,1,?,4,5,43.00,6.60,?,?,1,1,2209,0,0,2
2,1,528305,37.80,48,14,?,?,1,1,3,?,2,1,3,5.30,1,?,35.00,7.50,?,?,1,2,3111,0,0,1
1,1,529388,?,88,40,3,3,4,2,5,4,3,3,?,?,4,5,50.00,7.70,3,1.40,2,1,4205,0,0,1
1,9,5277409,39.20,146,96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,1,2113,0,0,2
1,1,529427,37.20,60,?,2,1,1,1,3,3,3,2,1,?,4,5,43.00,6.60,?,?,1,1,2209,0,0,2
2,1,534197,38.0,52,16,?,?,?,?,2,?,?,?,3,1,1,1,53,86,?,?,1,1,2322,0,0,2
1,1,530297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45.00,8.70,?,?,2,1,2208,0,0,2
2,1,527829,38.30,54,18,3,1,2,1,2,3,2,?,3,5.40,?,4,44.00,7.20,3,?,1,2,2124,0,0,1
1,1,530366,37.60,68,32,3,?,3,1,4,2,4,2,2,6.50,1,5,47.00,7.20,1,?,1,1,3209,0,0,2
1,9,5291719,38.80,124,36,3,1,2,1,2,3,4,1,1,?,4,4,50.00,7.60,3,?,2,1,2208,0,0,1
2,1,526639,37.50,48,24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0,2
2,9,5291329,38.00,92,28,1,1,2,1,1,3,2,3,?,7.20,1,1,37.00,6.10,1,?,2,2,0,0,0,1
1,1,535158,37.3,48,20,?,1,2,1,3,3,3,2,1,?,3,5,41,69,?,?,1,1,3205,0,0,2
1,1,528800,?,112,13,4,4,4,1,2,3,1,2,1,4.50,4,4,60.00,6.30,3,?,1,1,2205,0,0,1
2,1,534293,38.2,130,16,4,3,4,2,2,4,4,1,1,?,?,?,65,82,2,2,3,2,2209,1400,0,2
1,1,529386,37.50,72,30,4,3,4,1,4,4,3,2,1,?,3,5,60.00,6.80,?,?,2,1,3205,0,0,2
2,9,5291329,38.00,92,28,1,1,2,1,1,3,2,3,?,7.20,1,1,37.00,6.10,1,?,2,2,0,0,0,1
2,1,530319,?,84,36,?,?,3,1,?,3,1,2,1,?,3,2,44.00,8.50,?,?,1,1,3111,0,0,2
2,1,528977,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0,2
2,1,530438,37.80,48,32,1,1,3,1,2,1,?,1,1,?,4,5,37.00,6.70,?,?,1,2,2124,0,0,2
2,1,534857,37.8,56,16,1,1,2,1,2,1,1,2,1,?,1,?,44,68,1,1,1,2,0,0,0,2
2,1,528729,37.50,48,30,4,1,3,1,?,2,1,1,1,?,1,1,48.00,8.60,?,?,1,2,400,0,0,2
2,1,534053,38.2,68,32,2,2,2,1,1,1,1,3,1,?,1,1,43,65,?,?,1,2,0,0,0,2
1,1,528183,37.60,45,12,3,1,3,1,?,2,2,2,1,?,1,4,39.00,7.00,2,1.50,1,1,2112,0,0,1
2,1,533885,38.3,60,20,1,1,1,2,1,3,1,?,?,?,3,?,34,66,?,?,1,2,0,0,0,2
1,1,528031,37.20,42,12,2,1,1,1,3,3,3,3,1,?,4,5,?,7.00,?,?,1,2,4124,0,0,2
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60.00,7.50,?,?,2,1,2112,0,0,2
2,1,528812,?,104,24,4,3,3,2,4,4,3,?,3,?,?,2,73.00,8.40,?,?,3,1,7111,0,0,2
1,1,528183,37.60,45,12,3,1,3,1,?,2,2,2,1,?,1,4,39.00,7.00,2,1.50,1,1,2112,0,0,1
1,1,535029,39.2,88,58,4,4,?,2,5,4,?,?,?,?,?,?,?,?,2,2,3,2,3205,0,0,2
1,1,5299253,37.70,56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,1,2113,0,0,2
1,1,5279441,38.00,76,18,?,?,?,2,?,?,?,?,?,?,?,?,71.00,11.00,?,?,1,1,2209,0,0,1
1,1,529796,?,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52.00,6.60,?,?,1,1,1124,0,0,2
2,1,527829,38.30,54,18,3,1,2,1,2,3,2,?,3,5.40,?,4,44.00,7.20,3,?,1,2,2124,0,0,1
2,1,535381,38.3,42,10,1,1,1,1,1,1,1,?,?,?,?,?,38,61,?,?,1,2,0,0,0,2
1,1,527365,38.40,80,30,4,3,1,1,3,3,3,3,3,?,4,5,32.00,6.10,3,4.30,1,1,7209,0,0,1
2,1,529304,38.00,54,30,2,3,3,3,3,1,2,2,2,?,?,4,45.00,6.20,?,?,1,2,400,0,0,2
1,1,535031,38.5,92,40,4,3,?,1,2,4,3,?,?,?,4,?,46,67,2,2,1,1,2208,0,0,2
1,1,533871,37.5,72,?,2,1,1,1,2,1,1,1,1,?,1,?,35,65,2,2,3,1,7209,0,0,2
2,1,528729,37.50,48,30,4,1,3,1,?,2,1,1,1,?,1,1,48.00,8.60,?,?,1,2,0,0,0,2
1,1,529729,?,104,?,3,3,5,2,2,4,3,?,3,?,4,4,69.00,8.60,2,3.40,2,1,2207,0,0,1
1,1,528503,39.20,120,20,4,3,5,2,2,3,3,1,3,?,?,4,60.00,8.80,3,?,2,1,2205,0,0,2
2,1,535314,38.7,48,24,?,?,?,?,1,1,?,1,1,?,1,?,34,63,?,?,1,2,0,0,0,2
2,1,535176,39.5,60,10,3,?,?,2,3,3,2,2,1,?,3,?,38,56,1,?,1,2,0,0,0,2
1,1,535043,39.3,100,51,4,4,6,1,2,4,1,1,3,2,?,4,66,13,3,2,3,1,2113,0,0,2
2,1,528702,36.10,88,?,3,3,3,1,3,3,2,2,3,?,?,4,45.00,7.00,3,4.80,3,1,2209,0,0,1
2,1,535415,37.7,48,?,2,1,1,1,1,1,1,1,1,?,?,?,45,76,?,?,1,2,0,0,0,2
1,1,528743,37.10,75,36,?,?,3,2,4,4,2,2,3,5.00,4,4,48.00,7.40,3,3.20,2,1,12208,0,0,1
1,1,528800,?,112,13,4,4,4,1,2,3,1,2,1,4.50,4,4,60.00,6.30,3,?,1,1,2205,0,0,1
2,1,528248,38.00,42,40,3,1,1,1,3,3,1,?,?,?,?,?,?,?,?,?,1,2,3111,0,0,2
2,1,528299,?,44,24,1,1,1,1,3,3,1,2,1,?,?,1,?,6.30,?,?,1,2,3111,0,0,2
2,1,528904,?,96,?,3,3,3,2,5,4,4,?,1,?,4,5,60.00,?,?,?,2,1,41110,0,0,2
2,1,530028,39.50,92,28,3,3,6,1,5,4,1,?,3,?,4,?,72.00,6.40,?,3.60,2,2,3300,0,0,2
1,1,535292,38.5,129,48,3,3,3,1,2,4,3,1,3,2,?,?,57,66,3,2,1,1,2206,0,0,2
2,1,528620,36.90,50,40,2,3,3,1,1,3,2,3,1,7.00,?,?,37.50,6.50,?,?,1,2,3111,0,0,2
2,1,528729,37.50,48,30,4,1,3,1,?,2,1,1,1,?,1,1,48.00,8.60,?,?,1,2,0,0,0,2
2,9,5288249,39.00,150,72,?,?,?,?,?,?,?,?,?,?,?,?,47.00,8.50,?,0.10,1,1,9400,0,0,1
2,1,534157,38.5,60,40,3,1,2,1,2,1,2,?,?,?,3,2,49,59,?,?,1,2,0,0,0,2
1,1,535029,39.2,88,58,4,4,?,2,5,4,?,?,?,?,?,?,?,?,2,2,3,2,3205,0,0,2
1,1,529796,?,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52.00,6.60,?,?,1,1,1124,0,0,2
1,1,529424,37.80,48,28,1,1,1,2,1,2,1,2,?,?,1,1,46.00,5.90,2,7.00,1,2,0,0,0,1
2,1,528019,37.80,40,16,1,1,1,1,1,1,1,?,?,?,1,1,37.00,6.80,?,?,1,2,0,0,0,2
1,1,530034,37.00,66,20,1,3,2,1,4,3,3,1,?,?,1,5,35.00,6.90,2,?,2,1,31110,0,0,2
2,1,534197,38.0,52,16,?,?,?,?,2,?,?,?,3,1,1,1,53,86,?,?,1,1,2322,0,0,2
2,1,529483,?,?,?,1,1,3,1,1,3,1,?,?,?,2,2,43.00,7.70,?,?,1,2,3111,0,0,2
2,1,528590,?,56,68,3,1,1,1,3,3,1,2,1,?,1,?,40.00,6.00,?,?,3,1,5206,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
1,1,533942,38,66,20,1,3,3,1,5,3,1,1,1,?,3,?,46,46,3,2,3,1,6209,0,0,2
1,1,528503,39.20,120,20,4,3,5,2,2,3,3,1,3,?,?,4,60.00,8.80,3,?,2,1,2205,0,0,2
1,1,534618,37.2,40,20,?,?,?,?,?,?,?,?,?,?,4,1,36,62,1,1,3,2,6112,0,0,2
1,1,529399,39.30,?,?,4,3,6,2,4,4,2,1,3,4.00,4,4,75.00,?,3,4.30,2,1,2207,0,0,1
1,1,534624,?,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,3,1,11124,0,0,2
1,1,527916,?,?,?,?,?,?,?,4,?,?,1,1,?,?,5,35,58,2,1,1,1,4205,0,0,2
1,1,530693,?,?,?,3,3,3,3,5,3,3,3,2,?,4,5,46.00,5.90,?,?,2,1,3025,0,0,2
2,1,534579,38.7,40,28,2,1,1,1,3,1,1,?,?,?,1,?,39,62,1,1,1,2,0,0,0,2
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60.00,7.50,?,?,2,1,1400,0,0,2
1,1,527734,40.80,72,42,3,3,1,1,2,3,1,2,1,?,?,?,54.00,7.40,3,?,2,1,11400,0,0,1
2,1,528620,36.90,50,40,2,3,3,1,1,3,2,3,1,7.00,?,?,37.50,6.50,?,?,1,2,3111,0,0,2
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60.00,7.50,?,?,2,1,2112,0,0,2
2,1,534579,38.7,40,28,2,1,1,1,3,1,1,?,?,?,1,?,39,62,1,1,1,2,0,0,0,2
1,1,534624,?,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,3,1,11124,0,0,2
2,1,535054,38.6,45,16,2,1,2,1,1,1,?,?,?,?,1,1,43,58,?,?,1,2,0,0,0,2
1,1,526802,37.90,48,16,1,1,1,1,3,3,3,1,1,?,3,5,37.00,7.00,?,?,1,1,3124,0,0,2
2,1,530001,38.00,44,12,2,1,3,1,3,4,3,1,2,6.50,1,4,33.00,6.50,?,?,2,1,2209,0,0,2
2,1,528151,38.50,100,?,3,3,5,2,4,3,4,2,1,?,4,5,?,?,?,?,3,2,4124,0,0,2
2,1,530028,39.50,92,28,3,3,6,1,5,4,1,?,3,?,4,?,72.00,6.40,?,3.60,2,2,3300,0,0,2
1,9,5294539,38.80,184,84,1,?,1,1,4,1,3,?,?,?,2,?,33.00,3.30,?,?,2,1,7111,0,0,2
1,9,5297379,38.40,84,40,3,3,2,1,3,3,3,1,1,?,?,?,36.00,6.60,2,2.80,2,1,2205,0,0,1
